price,model_year,model,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,condition
9400,2011,bmw x5,6,gas,145000.0,automatic,SUV,Unknown,1,2018-06-23,19,fair
5500,2013,hyundai sonata,4,gas,110000.0,automatic,sedan,red,0,2019-02-07,79,fair
14900,2017,chrysler 200,4,gas,80903.0,automatic,sedan,black,0,2019-04-02,28,good
14990,2014,chrysler 300,6,gas,57954.0,automatic,sedan,black,1,2018-06-20,15,good
12990,2015,toyota camry,4,gas,79212.0,automatic,sedan,white,0,2018-12-27,73,good
15990,2013,honda pilot,6,gas,109473.0,automatic,SUV,black,1,2019-01-07,68,fair
11500,2012,kia sorento,4,gas,104174.0,automatic,SUV,Unknown,1,2018-07-16,19,fair
19500,2011,chevrolet silverado 1500,8,gas,128413.0,automatic,pickup,black,1,2018-09-17,38,fair
8990,2012,honda accord,4,gas,111142.0,automatic,sedan,grey,0,2019-03-28,29,fair
18990,2012,ram 1500,8,gas,140742.0,automatic,pickup,Unknown,1,2019-04-02,37,fair
16500,2018,hyundai sonata,4,gas,22104.0,automatic,sedan,silver,0,2019-01-14,29,excellent
12990,2009,gmc yukon,8,gas,132285.0,automatic,SUV,black,1,2019-01-31,24,fair
14990,2010,ram 1500,8,gas,130725.0,automatic,pickup,red,1,2018-12-30,13,fair
13990,2014,jeep cherokee,6,gas,100669.0,automatic,SUV,red,1,2018-08-16,25,fair
12500,2013,chevrolet traverse,6,gas,128325.0,automatic,SUV,white,1,2019-04-09,13,fair
13990,2018,hyundai elantra,4,gas,31932.0,automatic,sedan,red,0,2018-08-25,27,excellent
5250,2007,toyota rav4,6,gas,154000.0,automatic,SUV,Unknown,0,2018-08-22,8,fair
7500,2004,chevrolet silverado,8,gas,180000.0,automatic,truck,red,1,2019-01-05,64,fair
8499,2014,ford fusion se,4,gas,79523.0,automatic,sedan,red,0,2018-10-25,23,good
12999,2015,chevrolet impala,6,gas,39368.0,automatic,sedan,custom,0,2018-05-19,42,excellent
29800,2012,chevrolet corvette,8,gas,57413.0,automatic,coupe,orange,0,2018-10-22,101,good
