price,model_year,model,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,condition
9400,2011,bmw x5,6,gas,145000,automatic,SUV,Unknown,1,2018-06-23,19,fair
5500,2013,hyundai sonata,4,gas,110000,automatic,sedan,red,0,2019-02-07,79,fair
14900,2017,chrysler 200,4,gas,80903,automatic,sedan,black,0,2019-04-02,28,good
14990,2014,chrysler 300,6,gas,57954,automatic,sedan,black,1,2018-06-20,15,good
12990,2015,toyota camry,4,gas,79212,automatic,sedan,white,0,2018-12-27,73,good
15990,2013,honda pilot,6,gas,109473,automatic,SUV,black,1,2019-01-07,68,fair
11500,2012,kia sorento,4,gas,104174,automatic,SUV,Unknown,1,2018-07-16,19,fair
19500,2011,chevrolet silverado 1500,8,gas,128413,automatic,pickup,black,1,2018-09-17,38,fair
8990,2012,honda accord,4,gas,111142,automatic,sedan,grey,0,2019-03-28,29,fair
18990,2012,ram 1500,8,gas,140742,automatic,pickup,Unknown,1,2019-04-02,37,fair
16500,2018,hyundai sonata,4,gas,22104,automatic,sedan,silver,0,2019-01-14,29,excellent
12990,2009,gmc yukon,8,gas,132285,automatic,SUV,black,1,2019-01-31,24,fair
14990,2010,ram 1500,8,gas,130725,automatic,pickup,red,1,2018-12-30,13,fair
13990,2014,jeep cherokee,6,gas,100669,automatic,SUV,red,1,2018-08-16,25,fair
12500,2013,chevrolet traverse,6,gas,128325,automatic,SUV,white,1,2019-04-09,13,fair
13990,2018,hyundai elantra,4,gas,31932,automatic,sedan,red,0,2018-08-25,27,excellent
5250,2007,toyota rav4,6,gas,154000,automatic,SUV,Unknown,0,2018-08-22,8,fair
7500,2004,chevrolet silverado,8,gas,180000,automatic,truck,red,1,2019-01-05,64,fair
8499,2014,ford fusion se,4,gas,79523,automatic,sedan,red,0,2018-10-25,23,good
12999,2015,chevrolet impala,6,gas,39368,automatic,sedan,custom,0,2018-05-19,42,excellent
29800,2012,chevrolet corvette,8,gas,57413,automatic,coupe,orange,0,2018-10-22,101,good
5000,2009,jeep liberty,6,gas,137273,automatic,SUV,white,1,2019-02-19,14,fair
11999,2017,toyota camry le,4,gas,35721,automatic,sedan,Unknown,0,2018-09-13,25,excellent
9499,2015,nissan altima,4,gas,51848,automatic,sedan,grey,0,2018-11-12,7,good
3890,2011,subaru outback,4,gas,300000,automatic,SUV,white,1,2018-12-25,31,salvage
9500,2008,toyota highlander,6,gas,149799,automatic,SUV,Unknown,0,2018-06-04,121,fair
14999,2015,dodge charger,6,gas,63037,automatic,sedan,Unknown,0,2018-05-11,37,good
8000,2009,ford f-150,8,gas,234000,automatic,truck,black,1,2019-03-31,1,salvage
11499,2017,chevrolet equinox,4,gas,54772,automatic,SUV,grey,1,2019-01-12,36,good
5100,2008,honda cr-v,4,gas,188000,automatic,SUV,red,1,2018-11-18,10,salvage
4500,2004,jeep grand cherokee,6,gas,168821,automatic,SUV,Unknown,1,2019-01-31,60,fair
2400,2001,toyota camry,4,gas,277564,automatic,coupe,yellow,0,2018-05-27,51,salvage
11200,2015,dodge charger,6,gas,90302,automatic,sedan,black,1,2018-07-19,73,good
12500,2008,toyota 4runner,6,gas,141098,automatic,SUV,grey,0,2019-03-10,35,fair
9500,2014,ford focus,4,diesel,46000,automatic,sedan,Unknown,0,2018-10-09,24,good
3200,2006,honda civic,4,gas,255390,automatic,sedan,blue,0,2018-10-18,23,salvage
6200,2006,ford f-150,6,gas,69698,automatic,truck,custom,0,2018-05-03,50,good
3800,2012,ford focus,4,gas,130323,automatic,sedan,black,0,2018-11-29,261,fair
3300,2011,kia soul,4,gas,188963,manual,SUV,black,0,2019-02-16,71,salvage
10400,2012,chevrolet colorado,5,gas,111871,automatic,truck,red,1,2019-01-30,27,fair
30300,2017,ford f150 supercrew cab xlt,6,gas,30339,automatic,pickup,brown,1,2018-07-15,14,excellent
19700,2017,chevrolet camaro lt coupe 2d,6,gas,35807,other,coupe,Unknown,0,2018-05-16,99,excellent
4877,2012,chevrolet cruze,4,gas,163261,automatic,sedan,white,0,2019-04-18,21,fair
13000,2005,ram 1500,8,gas,146000,automatic,truck,grey,1,2019-03-14,26,fair
